energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,code,score
291.0,0.5,0.5,0.002370848708487,0.0152352352352352,14.6,13.1,1.35,0.5,0.01,0.0039370078740157,0.0001640117446808,0.0323380341880341,0.1265071942446043,0.006171875,-3.0,3021760400043,4
302.0,0.5,0.2,0.0023754612546125,0.0152252252252252,15.7,14.3,1.5,0.4,0.00762,0.003,0.0001640238297872,0.0322779914529914,0.1265395683453237,0.0061859375,-4.0,3021760400050,4
283.0,0.4,0.2,0.002380073800738,0.0152152152152152,14.7,13.7,1.2,0.5,0.00847,0.00333,0.0001640359148936,0.0322179487179487,0.1265719424460431,0.0062,-3.0,3021760400074,4
272.0,0.6,0.5,0.0023846863468634,0.0152052052052052,12.8,11.6,0.6,0.6,0.01,0.0039370078740157,0.000164048,0.0321579059829059,0.1266043165467626,0.0062140625,-3.0,3021760400135,4
304.0,0.5,0.2,0.0023985239852398,0.0151751751751751,15.9,15.1,1.0,0.4,0.00762,0.003,0.0001640842553191,0.0319777777777777,0.1267014388489208,0.00625625,-3.0,3021760403211,4
314.0,0.6,0.21,0.0024077490774907,0.0151551551551551,15.7,14.5,1.5,0.6,0.00762,0.003,0.0001641084255319,0.0318576923076923,0.1267661870503597,0.006284375,-4.0,3021760403464,4
314.0,0.5,0.5,0.0024123616236162,0.0151451451451451,15.9,15.1,0.75,0.5,0.01,0.0039370078740157,0.0001641205106382,0.0317976495726495,0.1267985611510791,0.0062984375,-2.0,3021760403709,4
271.0,0.7,0.5,0.0024215867158671,0.0151251251251251,12.9,11.8,0.0,0.5,0.01,0.0039370078740157,0.000164144680851,0.0316775641025641,0.126863309352518,0.0063265625,-3.0,3021760403792,4
278.0,0.7,0.5,0.0024261992619926,0.0151151151151151,13.3,12.2,0.0,0.5,0.01,0.0039370078740157,0.0001641567659574,0.0316175213675213,0.1268956834532374,0.006340625,-3.0,3021760403891,4
289.0,0.6,0.5,0.002430811808118,0.0151051051051051,13.7,12.6,0.0,0.5,0.01,0.0039370078740157,0.0001641688510638,0.0315574786324786,0.1269280575539568,0.0063546875,-3.0,3021760403914,4
